,date,open,high,low,close,volume
0,2021-06-01 15:00:00+05:30,377.2,385.0,373.5,382.85,11675
1,2021-06-01 15:01:00+05:30,382.65,396.05,382.65,384.65,23950
2,2021-06-01 15:02:00+05:30,386.4,393.35,381.4,381.4,5625
3,2021-06-01 15:03:00+05:30,381.8,391.0,381.65,387.9,5525
4,2021-06-01 15:04:00+05:30,387.3,391.6,381.1,386.1,15075
5,2021-06-01 15:05:00+05:30,388.0,389.6,370.2,371.2,16350
6,2021-06-01 15:06:00+05:30,370.55,380.0,358.9,365.0,36725
7,2021-06-01 15:07:00+05:30,364.8,370.85,351.25,352.85,46250
8,2021-06-01 15:08:00+05:30,355.15,355.45,333.5,336.5,42025
9,2021-06-01 15:09:00+05:30,338.55,358.45,336.7,352.95,36000
10,2021-06-01 15:10:00+05:30,355.0,379.85,353.35,375.8,38225
11,2021-06-01 15:11:00+05:30,373.95,382.0,368.75,375.35,28775
12,2021-06-01 15:12:00+05:30,377.85,380.95,362.95,370.95,18450
13,2021-06-01 15:13:00+05:30,371.6,377.65,366.15,373.6,17900
14,2021-06-01 15:14:00+05:30,372.55,383.6,372.4,376.85,19200
15,2021-06-01 15:15:00+05:30,375.85,381.5,372.6,377.15,10950
16,2021-06-01 15:16:00+05:30,377.3,377.6,369.65,369.65,11950
17,2021-06-01 15:17:00+05:30,370.35,377.0,369.35,373.55,7350
18,2021-06-01 15:18:00+05:30,374.1,379.8,371.0,375.45,11275
19,2021-06-01 15:19:00+05:30,376.75,381.55,375.05,378.15,12925
20,2021-06-01 15:20:00+05:30,380.0,385.0,366.75,369.7,32350
21,2021-06-01 15:21:00+05:30,370.4,374.2,366.1,367.85,12575
