DateTime,Open,High,Low,Close,Volume
2021:05:31 09:34:51,458.75,467.5,447.15,465.6,7925
2021:05:31 09:37:00,466.0,487.0,463.0,486.1,7000
2021:05:31 09:39:10,486.1,498.3,481.15,492.7,7775
2021:05:31 09:41:19,494.9,566.65,493.7,558.85,7600
2021:05:31 09:43:30,563.1,572.7,545.0,552.35,7550
2021:05:31 09:45:42,552.35,595.9,532.5,585.0,10625
2021:05:31 09:47:52,592.65,604.85,567.65,576.6,9425
2021:05:31 09:50:07,576.6,605.0,557.55,599.0,8025
2021:05:31 09:52:22,600.0,606.6,570.45,584.15,7250
2021:05:31 09:54:43,587.05,595.95,574.65,590.9,6625
2021:05:31 09:57:10,590.9,597.95,578.8,588.45,6850
2021:05:31 09:59:28,586.0,623.35,580.9,584.0,8600
2021:05:31 10:01:47,585.65,598.4,564.9,594.6,9125
2021:05:31 10:04:13,594.6,594.6,575.6,575.6,8125
2021:05:31 10:06:35,575.6,586.7,563.7,575.15,7350
2021:05:31 10:08:51,575.15,644.0,567.25,635.7,10925
2021:05:31 10:11:04,636.9,676.0,630.0,656.45,8325
2021:05:31 10:13:22,656.45,686.1,651.7,667.15,7850
2021:05:31 10:15:42,667.15,690.0,660.0,682.0,10175
2021:05:31 10:18:15,682.0,682.05,650.05,660.15,7850
2021:05:31 10:20:38,662.45,682.7,656.0,656.0,9000
2021:05:31 10:22:58,655.0,672.35,643.55,668.45,9650
2021:05:31 10:25:31,668.45,690.0,652.7,684.65,7650
2021:05:31 10:27:53,689.2,706.1,679.5,700.0,8650
2021:05:31 10:30:11,698.8,735.75,697.75,735.75,7925
2021:05:31 10:32:32,736.75,736.75,701.55,711.45,8050
2021:05:31 10:35:07,711.45,725.0,709.4,709.65,7025
2021:05:31 10:37:46,709.65,715.95,689.0,709.85,7600
2021:05:31 10:40:15,709.85,726.25,696.85,722.35,5825
2021:05:31 10:42:41,722.35,722.35,702.5,714.65,13250
2021:05:31 10:45:21,714.65,714.65,695.05,700.0,9025
2021:05:31 10:47:48,700.0,709.0,677.85,691.7,8650
