datetime,open,high,low,close,volume
2021:05:31 09:34:54,474.25,485.0,462.3,464.0,6750
2021:05:31 09:37:09,463.5,463.85,432.1,439.85,8450
2021:05:31 09:39:22,438.8,438.95,416.45,418.85,6625
2021:05:31 09:41:30,419.3,419.3,364.35,365.05,8925
2021:05:31 09:43:38,365.7,381.7,365.7,376.1,8750
2021:05:31 09:45:47,376.0,389.65,338.95,338.95,8000
2021:05:31 09:47:54,341.6,360.0,337.0,358.25,8075
2021:05:31 09:50:01,359.25,366.65,337.85,347.6,8625
2021:05:31 09:52:08,348.85,364.65,339.15,361.5,7475
2021:05:31 09:54:14,358.9,363.05,347.35,352.15,9725
2021:05:31 09:56:20,351.5,360.0,345.75,356.55,7975
2021:05:31 09:58:26,355.8,356.85,322.6,342.4,8000
2021:05:31 10:00:33,344.4,362.1,342.1,343.4,8700
2021:05:31 10:02:39,342.8,351.35,334.8,345.0,9075
2021:05:31 10:04:46,346.0,355.1,339.1,354.85,8375
2021:05:31 10:06:53,355.4,359.5,342.6,352.0,8800
2021:05:31 10:09:02,351.55,351.55,310.55,315.5,8825
2021:05:31 10:11:09,315.4,325.3,297.45,303.8,7300
2021:05:31 10:13:17,302.0,305.55,287.9,291.4,7475
2021:05:31 10:15:25,293.1,297.8,282.15,284.2,7525
2021:05:31 10:17:34,283.5,297.9,282.95,297.9,8350
2021:05:31 10:19:45,298.1,298.55,284.75,289.75,8100
2021:05:31 10:21:55,288.85,302.4,286.25,296.15,6850
2021:05:31 10:24:03,296.15,298.95,287.2,297.5,7750
2021:05:31 10:26:11,297.5,297.75,271.8,276.55,7075
2021:05:31 10:28:18,275.45,278.25,259.3,262.85,8925
2021:05:31 10:30:25,262.55,264.85,253.0,260.6,9000
2021:05:31 10:32:34,260.6,265.6,259.0,261.95,7000
2021:05:31 10:34:42,262.45,264.25,255.9,260.3,7075
2021:05:31 10:36:52,261.45,273.7,260.6,263.0,7250
2021:05:31 10:39:01,262.4,269.55,262.0,268.35,7475
2021:05:31 10:41:11,269.0,272.45,257.25,262.95,7725
2021:05:31 10:43:22,263.9,270.5,258.2,268.35,7350
2021:05:31 10:45:29,267.95,271.0,265.55,268.9,6275
2021:05:31 10:47:39,268.75,275.6,264.7,270.45,7675
2021:05:31 10:49:45,270.45,279.8,270.25,276.9,7900
2021:05:31 10:51:52,277.0,284.0,271.1,275.1,6250
2021:05:31 10:54:00,275.65,275.65,267.35,272.25,7275
2021:05:31 10:56:13,272.25,278.9,268.45,277.25,8875
2021:05:31 10:58:24,277.25,278.1,265.0,273.45,7125
2021:05:31 11:00:37,272.8,280.25,272.2,276.5,6975
2021:05:31 11:02:46,276.5,287.1,273.75,287.1,6775
2021:05:31 11:05:01,287.1,291.5,281.45,290.95,7650
2021:05:31 11:07:18,289.9,290.25,279.35,280.05,9100
2021:05:31 11:09:31,280.4,286.35,278.1,284.2,8600
2021:05:31 11:11:46,286.0,298.0,280.9,294.25,8175
2021:05:31 11:14:06,294.1,299.0,288.55,298.7,7150
2021:05:31 11:16:18,298.7,301.5,291.85,297.75,6550
2021:05:31 11:18:38,302.3,304.45,280.8,282.8,6150
2021:05:31 11:20:51,281.55,283.45,269.45,273.6,9525
2021:05:31 11:23:03,274.4,292.05,273.65,292.05,6850
2021:05:31 11:25:12,292.1,296.5,287.95,295.65,7325
2021:05:31 11:27:20,296.3,303.0,290.5,301.5,6925
2021:05:31 11:29:28,301.45,307.05,288.3,290.85,7100
2021:05:31 11:31:36,291.95,295.15,278.05,281.35,8050
2021:05:31 11:33:45,281.9,286.0,279.05,281.45,6975
2021:05:31 11:35:52,280.75,281.85,264.5,272.3,6800
2021:05:31 11:38:02,271.55,276.3,269.55,270.0,7325
2021:05:31 11:40:12,269.9,280.6,269.0,278.65,6675
2021:05:31 11:42:25,278.4,285.25,276.65,278.85,8125
2021:05:31 11:44:45,278.85,283.0,277.6,280.5,8000
2021:05:31 11:46:59,281.1,292.0,278.25,290.4,7400
2021:05:31 11:49:16,289.85,291.6,268.3,272.0,6675
2021:05:31 11:51:32,272.25,291.05,269.25,291.05,11225
2021:05:31 11:53:52,290.65,290.8,278.6,281.15,7350
2021:05:31 11:56:10,281.0,289.85,275.55,287.75,8275
2021:05:31 11:58:28,286.35,286.45,276.5,280.25,7025
2021:05:31 12:00:45,279.35,284.25,277.7,279.15,7950
2021:05:31 12:03:00,279.15,287.35,271.05,273.8,7300
