NAME OF COMPANY,SYMBOL,Security Id
20 Microns Limited,20MICRONS,20MICRONS
21st Century Management Services Limited,21STCENMGM,21STCENMGM
3i Infotech Limited,3IINFOTECH,3IINFOTECH
3M India Limited,3MINDIA,3MINDIA
3P Land Holdings Limited,3PLAND,3PLAND
5Paisa Capital Limited,5PAISA,5PAISA
63 moons technologies limited,63MOONS,63MOONS
A2Z Infra Engineering Limited,A2ZINFRA,A2ZINFRA
Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS
Aarti Industries Limited,AARTIIND,AARTIIND
Aarti Surfactants Limited,AARTISURF,AARTISURF
Aarvee Denims & Exports Limited,AARVEEDEN,AARVEEDEN
Aavas Financiers Limited,AAVAS,AAVAS
Aban Offshore Limited,ABAN,ABAN
ABB India Limited,ABB,ABB
Abbott India Limited,ABBOTINDIA,ABBOTINDIA
Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL
ACC Limited,ACC,ACC
Accelya Solutions India Limited,ACCELYA,ACCELYA
Action Construction Equipment Limited,ACE,ACE
Acrysil Limited,ACRYSIL,ACRYSIL
Adani Enterprises Limited,ADANIENT,ADANIENT
Adani Green Energy Limited,ADANIGREEN,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS
Adani Power Limited,ADANIPOWER,ADANIPOWER
Adani Transmission Limited,ADANITRANS,ADANITRANS
ADF Foods Limited,ADFFOODS,ADFFOODS
Archidply Decor Limited,ADL,ADL
Ador Welding Limited,ADORWELD,ADORWELD
Adroit Infotech Limited,ADROITINFO,ADROITINFO
Allied Digital Services Limited,ADSL,ADSL
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,ADVANIHOTR
Advanced Enzyme Technologies Limited,ADVENZYMES,ADVENZYMES
Aegis Logistics Limited,AEGISCHEM,AEGISLOG
Affle (India) Limited,AFFLE,AFFLE
Agarwal Industrial Corporation Limited,AGARIND,AGARIND
AGC Networks Limited,AGCNET,AGCNET
Agri-Tech (India) Limited,AGRITECH,AGRITECH
Asian Hotels (East) Limited,AHLEAST,AHLEAST
Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT
Asian Hotels (West) Limited,AHLWEST,AHLWEST
AIA Engineering Limited,AIAENG,AIAENG
Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM
Ajmera Realty & Infra India Limited,AJMERA,AJMERA
AksharChem India Limited,AKSHARCHEM,AKSCHEM
Aksh Optifibre Limited,AKSHOPTFBR,AKSHOPTFBR
Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA
Alankit Limited,ALANKIT,ALANKIT
Albert David Limited,ALBERTDAVD,ALBERTDA
Alembic Limited,ALEMBICLTD,ALEMBICLTD
Alicon Castalloy Limited,ALICON,ALICON
Alkali Metals Limited,ALKALI,ALKALI
Alkem Laboratories Limited,ALKEM,ALKEM
Alkyl Amines Chemicals Limited,ALKYLAMINE,ALKYLAMINE
Allcargo Logistics Limited,ALLCARGO,ALLCARGO
Allsec Technologies Limited,ALLSEC,ALLSEC
Almondz Global Securities Limited,ALMONDZ,ALMONDZ
Alok Industries Limited,ALOKINDS,ALOKTEXT
Alpa Laboratories Limited,ALPA,ALPA
Alphageo (India) Limited,ALPHAGEO,ALPHAGEO
Alps Industries Limited,ALPSINDUS,ALPSINDUS
Amara Raja Batteries Limited,AMARAJABAT,AMARAJABAT
Amber Enterprises India Limited,AMBER,AMBER
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,AMBICAAGAR
Ambika Cotton Mills Limited,AMBIKCO,AMBIKCO
Ambuja Cements Limited,AMBUJACEM,AMBUJACEM
AMD Industries Limited,AMDIND,AMDIND
Amj Land Holdings Limited,AMJLAND,AMJLAND
Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN
Anant Raj Limited,ANANTRAJ,ANANTRAJ
Andhra Cements Limited,ANDHRACEMT,ANDHRACEMT
ANDHRA PAPER LIMITED,ANDHRAPAP,ANDHRAPAP
The Andhra Sugars Limited,ANDHRSUGAR,ANDHRSUGAR
Angel Broking Limited,ANGELBRKG,ANGELBRKG
Anik Industries Limited,ANIKINDS,ANIKINDS
Ankit Metal & Power Limited,ANKITMETAL,ANKITMETAL
Anmol India Limited,ANMOL,ANMOL
Ansal Properties & Infrastructure Limited,ANSALAPI,ANSALAPI
Ansal Housing Limited,ANSALHSG,ANSALHSG
The Anup Engineering Limited,ANUP,ANUP
Anupam Rasayan India Limited,ANURAS,ANURAS
Apar Industries Limited,APARINDS,APARINDS
Anjani Portland Cement Limited,APCL,APCL
Apcotex Industries Limited,APCOTEXIND,APCOTEXIND
Apex Frozen Foods Limited,APEX,APEX
APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO
Alembic Pharmaceuticals Limited,APLLTD,APLLTD
Apollo Micro Systems Limited,APOLLO,APOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP
Apollo Pipes Limited,APOLLOPIPE,APOLLOPIPES
Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE
Aptech Limited,APTECHT,APTECHT
Archidply Industries Limited,ARCHIDPLY,ARCHIDPLY
Archies Limited,ARCHIES,ARCHIES
Rajdarshan Industries Limited,ARENTERP,ARENTERP
Aries Agro Limited,ARIES,ARIES
Arihant Foundations & Housing Limited,ARIHANT,ARIHANT
Arihant Superstructures Limited,ARIHANTSUP,ASL
Arman Financial Services Limited,ARMANFIN,ARMANFIN
Aro Granite Industries Limited,AROGRANITE,AROGRANITE
Arrow Greentech Limited,ARROWGREEN,ARROWGREEN
Arshiya Limited,ARSHIYA,ARSHIYA
ARSS Infrastructure Projects Limited,ARSSINFRA,ARSSINFRA
Artemis Medicare Services Limited,ARTEMISMED,ARTEMISMED
Arvind Limited,ARVIND,ARVIND
Arvind Fashions Limited,ARVINDFASN,ARVINDFASN
Arvind SmartSpaces Limited,ARVSMART,ARVSMART
Asahi India Glass Limited,ASAHIINDIA,ASAHIINDIA
Asahi Songwon Colors Limited,ASAHISONG,ASAHISONG
Automotive Stampings and Assemblies Limited,ASAL,ASAL
Associated Alcohols & Breweries Ltd.,ASALCBR,ASALCBR
Ashapura Minechem Limited,ASHAPURMIN,ASHAPURMIN
Ashiana Housing Limited,ASHIANA,ASHIANA
Ashima Limited,ASHIMASYN,ASHIMASYN
Ashoka Buildcon Limited,ASHOKA,ASHOKA
Ashok Leyland Limited,ASHOKLEY,ASHOKLEY
Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR
Asian Paints Limited,ASIANPAINT,ASIANPAINT
Asian Granito India Limited,ASIANTILES,ASIANTILES
Astec LifeSciences Limited,ASTEC,ASTEC
Aster DM Healthcare Limited,ASTERDM,ASTERDM
Astral Limited,ASTRAL,ASTRAL
Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO
AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN
Astron Paper & Board Mill Limited,ASTRON,ASTRON
Agro Tech Foods Limited,ATFL,ATFL
Adani Total Gas Limited,ATGL,ATGL
Atlanta  Limited,ATLANTA,ATLANTA
Atul Limited,ATUL,ATUL
Atul Auto Limited,ATULAUTO,ATULAUTO
AU Small Finance Bank Limited,AUBANK,AUBANK
Aurionpro Solutions Limited,AURIONPRO,AURIONPRO
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA
Ausom Enterprise Limited,AUSOMENT,AUSOMENT
Automotive Axles Limited,AUTOAXLES,AUTOAXLES
Autoline Industries Limited,AUTOIND,AUTOIND
Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR
Avanti Feeds Limited,AVANTIFEED,AVANTI
AVT Natural Products Limited,AVTNPL,AVTNPL
Antony Waste Handling Cell Limited,AWHCL,AWHCL
Axis Bank Limited,AXISBANK,AXISBANK
AXISCADES Technologies Limited,AXISCADES,AXISCADES
AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX
Bafna Pharmaceuticals Limited,BAFNAPH,BAFNAPHARM
B.A.G Films and Media Limited,BAGFILMS,BAGFILMS
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE
Balaji Telefilms Limited,BALAJITELE,BALAJITELE
Balaji Amines Limited,BALAMINES,BALAMINES
Balkrishna Paper Mills Limited,BALKRISHNA,BALKRISHNA
Balkrishna Industries Limited,BALKRISIND,BALKRISIND
Ballarpur Industries Limited,BALLARPUR,BALLARPUR
Balmer Lawrie & Company Limited,BALMLAWRIE,BALMLAWRIE
Bal Pharma Limited,BALPHARMA,BALPHARMA
Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN
Banaras Beads Limited,BANARBEADS,BANARBEADS
Bannari Amman Sugars Limited,BANARISUG,BANARISUG
Banco Products (I) Limited,BANCOINDIA,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK,BANDHANBNK
Bang Overseas Limited,BANG,BANG
Bank of Baroda,BANKBARODA,BANKBARODA
Bank of India,BANKINDIA,BANKINDIA
Banswara Syntex Limited,BANSWRAS,BANSWRAS
Barbeque Nation Hospitality Limited,BARBEQUE,BARBEQUE
Bartronics India Limited,BARTRONICS,BARTRONICS
BASF India Limited,BASF,BASF
Bannari Amman Spinning Mills Limited,BASML,BASML
Bata India Limited,BATAINDIA,BATAINDIA
Bayer Cropscience Limited,BAYERCROP,BAYERCROP
Bharat Bijlee Limited,BBL,BBL
Bombay Burmah Trading Corporation Limited,BBTC,BBTC
Brightcom Group Limited,BCG,BCG
Bcl Industries Limited,BCLIND,BCLIL
B.C. Power Controls Ltd,BCP,BCP
Bharat Dynamics Limited,BDL,BDL
