Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
500002,,ABB,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity,ABB,ABB India Limited,EQ,08-FEB-1995,2,1,2
500003,,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Oil Marketing & Distribution,Equity,AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,1
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Auto Parts & Equipment,Equity,AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,1
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.0,INE001A01036,Housing Finance ,Equity,HDFC,Housing Development Finance Corporation Limited,EQ,23-OCT-1996,2,1,2
500013,,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.0,INE436A01026,Realty,Equity,ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-JAN-2006,5,1,5
500020,,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Textiles,Equity,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,2
500023,,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels,Equity,ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,10
500027,,ATUL,ATUL LTD.,Active,A ,10.0,INE100A01010,Specialty Chemicals,Equity,ATUL,Atul Limited,EQ,06-MAY-1998,10,1,10
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity,BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,2
500032,,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.0,INE306A01021,Sugar,Equity,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,1
500033,,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.0,INE451A01017,Cars & Utility Vehicles,Equity,FORCEMOT,FORCE MOTORS LTD,EQ,03-NOV-1994,10,1,10
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity,BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,2
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,1
500039,,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Parts & Equipment,Equity,BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,2
