bse_symbol,nse_symbol
ABB,ABB
AEGISLOG,AEGISCHEM
AMARAJABAT,AMARAJABAT
HDFC,HDFC
ANSALAPI,ANSALAPI
BOMDYEING,BOMDYEING
ASIANHOTNR,ASIANHOTNR
ATUL,ATUL
BAJAJELEC,BAJAJELEC
BAJAJHIND,BAJAJHIND
FORCEMOT,FORCEMOT
BAJFINANCE,BAJFINANCE
BALRAMCHIN,BALRAMCHIN
BANCOINDIA,BANCOINDIA
CENTURYTEX,CENTURYTEX
BANARISUG,BANARISUG
BASF,BASF
BATAINDIA,BATAINDIA
BEML,BEML
BEL,BEL
BEPL,BEPL
TATASTLBSL,TATASTLBSL
BIRLACABLE,BIRLACABLE
BLUESTARCO,BLUESTARCO
BPL,BPL
OAL,OAL
CENTEXT,CENTEXT
CESC,CESC
CHAMBLFERT,CHAMBLFERT
EXIDEIND,EXIDEIND
CIPLA,CIPLA
DICIND,DICIND
CRISIL,CRISIL
CGPOWER,CGPOWER
DABUR,DABUR
DALMIASUG,DALMIASUG
ARVIND,ARVIND
BALLARPUR,BALLARPUR
BHEL,BHEL
HINDPETRO,HINDPETRO
IFCI,IFCI
MTNL,MTNL
MRPL,MRPL
CHENNPETRO,CHENNPETRO
RELCAPITAL,RELCAPITAL
SBIN,SBIN
SAIL,SAIL
TITAN,TITAN
IDBI,IDBI
DCW,DCW
DHAMPURSUG,DHAMPURSUG
DRREDDY,DRREDDY
EIDPARRY,EIDPARRY
PGHL,PGHL
ELECTCAST,ELECTCAST
ESABINDIA,ESABINDIA
EPL,EPL
ESTER,ESTER
FINCABLES,FINCABLES
UFLEX,UFLEX
FOSECOIND,FOSECOIND
GOLDENTOBC,GOLDENTOBC
GTL,GTL
GODFRYPHLP,GODFRYPHLP
GODREJIND,GODREJIND
KANSAINER,KANSAINER
GOODYEAR,GOODYEAR
GHCL,GHCL
GFLLIMITED,GFLLIMITED
GLFL,GLFL
HCL-INSYS,HCL-INSYS
HDFCBANK,HDFCBANK
HEROMOTOCO,HEROMOTOCO
HFCL,HFCL
HSCL,HSCL
HCC,HCC
HINDOILEXP,HINDOILEXP
HSIL,HSIL
HINDZINC,HINDZINC
NXTDIGITAL,NXTDIGITAL
HMT,HMT
HLVLTD,HLVLTD
IGPL,IGPL
INDIAGLYCO,INDIAGLYCO
INDORAMA,INDORAMA
INFY,INFY
INGERRAND,INGERRAND
ATFL,ATFL
JISLJALEQS,JISLJALEQS
JINDALPOLY,JINDALPOLY
JSWSTEEL,JSWSTEEL
UMANGDAIR,UMANGDAIRY
KAJARIACER,KAJARIACER
KAKATCEM,KAKATCEM
KSL,KSL
WHIRLPOOL,WHIRLPOOL
KIRLOSBROS,KIRLOSBROS
KIRLOSIND,KIRLOSIND
KIRLFER,KIRLFER
KOTAKBANK,KOTAKBANK
KSB,KSB
LGBBROSLTD,LGBBROSLTD
TRENT,TRENT
LAXMIMACH,LAXMIMACH
LICHSGFIN,LICHSGFIN
LUPIN,LUPIN
LYKALABS,LYKALABS
RAMCOCEM,RAMCOCEM
MAHSEAMLES,MAHSEAMLES
MAHSCOOTER,MAHSCOOTER
MANALIPETC,MANALIPETC
MFSL,MFSL
MIRCELECTR,MIRCELECTR
CENTENKA,CENTENKA
SPICEJET,SPICEJET
MOREPENLAB,MOREPENLAB
MRF,MRF
HEIDELBERG,HEIDELBERG
NCC,NCC
VEDL,VEDL
NAHARSPING,NAHARSPING
GRASIM,GRASIM
PEL,PEL
NIITLTD,NIITLTD
ONGC,ONGC
ORIENTHOT,ORIENTHOT
OSWALAGRO,OSWALAGRO
RELIANCE,RELIANCE
PILITA,PILITA
RAYMOND,RAYMOND
PIDILITIND,PIDILITIND
BIRLACORPN,BIRLACORPN
SURYAROSNI,SURYAROSNI
PRIMESECU,PRIMESECU
PRSMJOHNSN,PRSMJOHNSN
RAIN,RAIN
AMJLAND,AMJLAND
RSWM,RSWM
RAJSREESUG,RAJSREESUG
RALLIS,RALLIS
RAMANEWS,RAMANEWS
ROLTA,ROLTA
RUCHISOYA,RUCHI
JINDALSAW,JINDALSAW
JKLAKSHMI,JKLAKSHMI
SHREECEM,SHREECEM
RELINFRA,RELINFRA
TATAPOWER,TATAPOWER
SPMLINFRA,SPMLINFRA
SUNDRMFAST,SUNDRMFAST
SUNFLAG,SUNFLAG
SUPPETRO,SUPPETRO
SWARAJENG,SWARAJENG
TATAELXSI,TATAELXSI
ACC,ACC
THERMAX,THERMAX
TIRUMALCHM,TIRUMALCHM
THOMASCOOK,THOMASCOOK
