bse_token,bse_tradingsymbol,nse_token,nse_tradingsymbol
136453636,20MICRONS,,
134891780,21STCENMGM,,
136352772,3IINFOTECH,1594113.0,DTIL
133989124,3MINDIA,7411713.0,DUCON
132119556,3PLAND,3894785.0,DVL
138438660,5PAISA,,
134881540,63MOONS,4460545.0,GLOBUSSPR
136522756,A2ZINFRA,,
134233092,AARTIDRUGS,,
134197252,AARTIIND,,
139061764,AARTISURF,,
131654148,AARVEEDEN,,
138748932,AAVAS,,
133940228,ABAN,,
128000516,ABB,,
128124932,ABBOTINDIA,,
138416900,ABCAPITAL,,
137153284,ABFRL,,
128104964,ACC,,
136260612,ACCELYA,,
136387076,ACE,,
134167300,ACRYSIL,,
131225348,ADANIENT,,
138611204,ADANIGREEN,,
136427780,ADANIPORTS,,
136472580,ADANIPOWER,,
138049028,ADANITRANS,,
132910852,ADFFOODS,,
139067140,ADL,,
132362500,ADORWELD,,
136236036,ADROITINFO,,
136416004,ADSL,,
133956868,ADVANIHOTR,,
138246404,ADVENZYMES,,
128000772,AEGISLOG,,
138944516,AFFLE,,
136171780,AGARIND,,
128118532,AGCNET,,
137546756,AGRITECH,,
136506116,AHLEAST,,
136399620,AHLUCONT,,
136504580,AHLWEST,,
136366852,AIAENG,,
136276740,AJANTPHARM,,
131417348,AJMERA,,
134297092,AKSCHEM,,
136281860,AKSHOPTFBR,,
128181764,AKZOINDIA,,
135956996,ALANKIT,,
134163204,ALBERTDA,,
129596164,ALEMBICLTD,,
135973636,ALICON,,
136455428,ALKALI,,
138117892,ALKEM,,
129732356,ALKYLAMINE,,
136383748,ALLCARGO,,
136354052,ALLSEC,,
136038404,ALMONDZ,,
133393924,ALOKTEXT,,
136416772,ALPA,,
134757636,ALPHAGEO,,
135863044,ALPSINDUS,,
128002052,AMARAJABAT,,
138470916,AMBER,,
136277764,AMBICAAGAR,,
136186372,AMBIKCO,,
128108804,AMBUJACEM,,
136403972,AMDIND,,
128087812,AMJLAND,,
151041540,AMRUTANJAN,,
131854084,ANANTRAJ,,
136228100,ANDHRACEMT,,
128596484,ANDHRAPAP,,
151055876,ANDHRSUGAR,,
139068164,ANGELBRKG,,
132962052,ANIKINDS,,
136414724,ANKITMETAL,,
138863876,ANMOL,,
128003332,ANSALAPI,,
130003972,ANSALHSG,,
138869764,ANUP,,
139078404,ANURAS,,
136258308,APARINDS,,
132631300,APCL,,
134065668,APCOTEXIND,,
138417156,APEX,,
136642052,APLAPOLLO,,
136594692,APLLTD,,
138465028,APOLLO,,
130270468,APOLLOHOSP,,
136130820,APOLLOPIPES,,
128224516,APOLLOTYRE,,
136313604,APTECHT,,
136446468,ARCHIDPLY,,
136246276,ARCHIES,,
134825476,ARENTERP,,
136431364,ARIES,,
136033540,ARIHANT,,
135981828,ARMANFIN,,
131514628,AROGRANITE,,
132112388,ARROWGREEN,,
129554948,ARSHIYA,,
136489732,ARSSINFRA,,
138987268,ARTEMISMED,,
128025860,ARVIND,,
138875908,ARVINDFASN,,
138061060,ARVSMART,,
131847684,ASAHIINDIA,,
136410372,ASAHISONG,,
133150468,ASAL,,
129926660,ASALCBR,,
134912260,ASHAPURMIN,,
134071300,ASHIANA,,
131657220,ASHIMASYN,,
136517380,ASHOKA,,
128122116,ASHOKLEY,,
128005892,ASIANHOTNR,,
128209924,ASIANPAINT,,
136419332,ASIANTILES,,
129585668,ASL,,
136483332,ASTEC,,
138489604,ASTERDM,,
136404484,ASTRAL,,
136318212,ASTRAMICRO,,
129745924,ASTRAZEN,,
138450948,ASTRON,,
128055044,ATFL,,
138768900,ATGL,,
136386308,ATLANTA,,
128006916,ATUL,,
136139524,ATULAUTO,,
138396420,AUBANK,,
136363012,AURIONPRO,,
134349828,AUROPHARMA,,
130306308,AUSOMENT,,
129282564,AUTOAXLES,,
136396036,AUTOIND,,
138406148,AVADHSUGAR,,
131218692,AVANTI,,
132890884,AVTNPL,,
139073028,AWHCL,,
136247044,AXISBANK,,
136293124,AXISCADES,,
130286852,AYMSYNTEX,,
136445188,BAFNAPHARM,,
136321796,BAGFILMS,,
136442116,BAJAJ-AUTO,,
136506628,BAJAJCON,,
128007940,BAJAJELEC,,
136442372,BAJAJFINSV,,
128008196,BAJAJHIND,,
128125444,BAJAJHLDNG,,
128008708,BAJFINANCE,,
136289796,BALAJITELE,,
135935748,BALAMINES,,
138048260,BALKRISHNA,,
128602884,BALKRISIND,,
128026116,BALLARPUR,,
133969668,BALMLAWRIE,,
134354948,BALPHARMA,,
128009732,BALRAMCHIN,,
134873348,BANARBEADS,,
128010500,BANARISUG,,
128009988,BANCOINDIA,,
138535172,BANDHANBNK,,
136434180,BANG,,
136226308,BANKBARODA,,
136230148,BANKINDIA,,
128952836,BANSWRAS,,
139080452,BARBEQUE,,
136369668,BARTRONICS,,
128010756,BASF,,
136364548,BASML,,
128011012,BATAINDIA,,
129608964,BAYERCROP,,
129013764,BBL,,
128364804,BBTC,,
136286212,BCG,,
134228996,BCLIL,,
137668100,BCP,,
138532612,BDL,,
138098436,BEARDSELL,,
139072772,BECTORFOOD,,
136517124,BEDMUTHA,,
128012548,BEL,,
128012292,BEML,,
128013316,BEPL,,
130426884,BERGEPAINT,,
138152964,BESTAGRO,,
136525572,BFINVEST,,
136302084,BFUTILITIE,,
136430084,BGRENERGY,,
135885572,BHAGIL,,
138398980,BHAGYAPROP,,
131147780,BHAGYNAGAR,,
131227652,BHANDHOS,,
128126212,BHARATFORG,,
129456132,BHARATGEAR,,
151045380,BHARATRAS,,
138188548,BHARATWIRE,,
136308228,BHARTIARTL,,
128026372,BHEL,,
138255620,BIGBLOC,,
134826500,BIL,,
138058244,BINDALAGRO,,
136325892,BIOCON,,
134245380,BIOFILCHEM,,
128015364,BIRLACABLE,,
128085764,BIRLACORPN,,
136441348,BIRLAMONEY,,
138990596,BIRLATYRES,,
137995012,BKMINDST,,
136266244,BLBLIMITED,,
129586436,BLISSGVS,,
136376068,BLKASHYAP,,
138258692,BLS,,
134812676,BLUEDART,,
128017156,BLUESTARCO,,
134238724,BODALCHEM,,
128005124,BOMDYEING,,
139062276,BOROLTD,,
128568068,BORORENEW,,
128135684,BOSCHLTD,,
128140036,BPCL,,
128018948,BPL,,
136365572,BRFL,,
136429828,BRIGADE,,
128211204,BRITANNIA,,
138419204,BRNL,,
136587012,BROOKS,,
136223492,BSELINFRA,,
131595524,BSL,,
136294404,BSOFT,,
139071492,BURGERKING,,
132459780,BUTTERFLY,,
136426500,BVCL,,
136274180,CADILAHC,,
136290820,CALSOFT,,
136405508,CAMLINFINE,,
139067396,CAMS,,
136315652,CANBK,,
136400132,CANDC,,
130866180,CANFINHOME,,
136516356,CANTABIL,,
138421764,CAPACITE,,
130945284,CAPITALT,,
134333956,CAPPL,,
131424004,CARBORUNIV,,
136514564,CAREERP,,
136909828,CARERATING,,
128222724,CASTROLIND,,
136422916,CCCL,,
134796804,CCHHL,,
133017604,CCL,,
128224772,CEATLTD,,
136517636,CEBBCO,,
136369924,CELEBRITY,,
128071684,CENTENKA,,
128021252,CENTEXT,,
136418564,CENTRALBK,,
128294404,CENTRUM,,
132491268,CENTUM,,
136332292,CENTURYPLY,,
128010244,CENTURYTEX,,
136305412,CERA,,
136297732,CEREBRAINT,,
128021508,CESC,,
136088324,CGCL,,
128023812,CGPOWER,,
138854148,CHALET,,
135758596,CHAMANSEQ,,
128021764,CHAMBLFERT,,
135902980,CHEMBOND,,
139067652,CHEMCON,,
138564868,CHEMFABALKA,,
128028164,CHENNPETRO,,
130878212,CHOLAFIN,,
129273092,CHOLAHLDNG,,
136898052,CIGNITI,,
136398596,CINELINE,,
136274948,CINEVISTA,,
128022276,CIPLA,,
138343172,CLEDUCATE,,
129635844,CLNINDIA,,
132436484,CMI,,
136519172,COALINDIA,,
138413572,COCHINSHIP,,
138095620,COFFEEDAY,,
136330500,COFORGE,,
128212484,COLPAL,,
136308740,COMPUAGE,,
136278788,COMPUSOFT,,
136024068,CONCOR,,
134868228,CONFIPET,,
133707524,CONTROLPR,,
136078340,CORALFINAC,,
136432900,CORDSCABLE,,
129637124,COROMANDEL,,
130256388,COSMOFILMS,,
136095748,COUNCODOS,,
136484868,COX&KINGS,,
