,Unnamed: 0,instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
16853311,16853311,1147137,4481,AARTIDRUGS,AARTI DRUGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134233092,524348,AARTIDRUGS,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853313,16853313,3329,13,ABB,ABB INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128000516,500002,ABB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853315,16853315,375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128181764,500710,AKZOINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853318,16853318,25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128002052,500008,AMARAJABAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853330,16853330,3691009,14418,ASTRAL,ASTRAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136404484,532830,ASTRAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853331,16853331,1552897,6066,ATGL,ADANI TOTAL GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,138768900,542066,ATGL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853333,16853333,4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136506628,533229,BAJAJCON,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853334,16853334,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136442372,532978,BAJAJFINSV,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853335,16853335,81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,128008708,500034,BAJFINANCE,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853337,16853337,1195009,4668,BANKBARODA,BANK OF BARODA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136226308,532134,BANKBARODA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853338,16853338,1214721,4745,BANKINDIA,BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136230148,532149,BANKINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853345,16853345,1790465,6994,BSOFT,BIRLASOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136294404,532400,BSOFT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853347,16853347,2763265,10794,CANBK,CANARA BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136315652,532483,CANBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853348,16853348,3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136418564,532885,CENTRALBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853349,16853349,5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136088324,531595,CGCL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853352,16853352,2955009,11543,COFORGE,COFORGE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136330500,532541,COFORGE,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853355,16853355,1471489,5748,CYIENT,CYIENT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136236804,532175,CYIENT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853356,16853356,2067201,8075,DALBHARAT,DALMIA BHARAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,138807300,542216,DALBHARAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853358,16853358,3513601,13725,DCBBANK,DCB BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136389636,532772,DCBBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
