instrument_token_x,instrument_token_y,tradingsymbol_x,tradingsymbol_y,name
3014145,136352772,3IINFOTECH,3IINFOTECH,3I INFOTECH.
1147137,134233092,AARTIDRUGS,AARTIDRUGS,AARTI DRUGS.
2561,133940228,ABAN,ABAN,ABAN OFFSHORE.
3329,128000516,ABB,ABB,ABB INDIA
879361,128118532,AGCNET,AGCNET,AGC NETWORKS
375553,128181764,AKZOINDIA,AKZOINDIA,AKZO NOBEL INDIA
2539777,135956996,ALANKIT,ALANKIT,ALANKIT
3495937,135973636,ALICON,ALICON,ALICON CASTALLOY
25601,128002052,AMARAJABAT,AMARAJABAT,AMARA RAJA BATTERIES.
665089,128087812,AMJLAND,AMJLAND,AMJ LAND HOLDINGS
3486721,131854084,ANANTRAJ,ANANTRAJ,ANANT RAJ
42497,128596484,ANDHRAPAP,ANDHRAPAP,ANDHRA PAPER
3500289,130003972,ANSALHSG,ANSALHSG,ANSAL HOUSING
2307585,138869764,ANUP,ANUP,THE ANUP ENGINEERING
2941697,136258308,APARINDS,APARINDS,APAR INDUSTRIES.
3676417,136130820,APOLLOPIPE,APOLLOPIPES,APOLLO PIPES
3892225,136431364,ARIES,ARIES,ARIES AGRO.
4562177,129554948,ARSHIYA,ARSHIYA,ARSHIYA
4716033,128005892,ASIANHOTNR,ASIANHOTNR,ASIAN HOTELS (NORTH)
4538369,136483332,ASTEC,ASTEC,ASTEC LIFESCIENCES
3691009,136404484,ASTRAL,ASTRAL,ASTRAL
1552897,138768900,ATGL,ATGL,ADANI TOTAL GAS
1033473,130306308,AUSOMENT,AUSOMENT,AUSOM ENTERPRISE
4999937,136506628,BAJAJCON,BAJAJCON,BAJAJ CONSUMER CARE
4268801,136442372,BAJAJFINSV,BAJAJFINSV,BAJAJ FINSERV.
81153,128008708,BAJFINANCE,BAJFINANCE,BAJAJ FINANCE
3917569,136434180,BANG,BANG,BANG OVERSEAS.
1195009,136226308,BANKBARODA,BANKBARODA,BANK OF BARODA
1214721,136230148,BANKINDIA,BANKINDIA,BANK OF INDIA
2261249,136286212,BCG,BCG,BRIGHTCOM GROUP
643329,134228996,BCLIND,BCLIL,BCL INDUSTRIES
2985473,137668100,BCP,BCP,B.C. POWER CONTROLS
590337,138152964,BESTAGRO,BESTAGRO,BEST AGROLIFE
109057,129456132,BHARATGEAR,BHARATGEAR,BHARAT GEARS.
806145,128568068,BORORENEW,BORORENEW,BOROSIL RENEWABLES
1790465,136294404,BSOFT,BSOFT,BIRLASOFT
1591297,136405508,CAMLINFINE,CAMLINFINE,CAMLIN FINE SCIENCES
2763265,136315652,CANBK,CANBK,CANARA BANK
3812865,136418564,CENTRALBK,CENTRALBK,CENTRAL BANK OF INDIA
5204225,136088324,CGCL,CGCL,CAPRI GLOBAL CAPITAL
716545,138564868,CHEMFAB,CHEMFABALKA,CHEMFAB ALKALIS
6953217,136398596,CINELINE,CINELINE,CINELINE INDIA
2955009,136330500,COFORGE,COFORGE,COFORGE
595969,137742596,CPSEETF,CPSEETF,CPSE ETF
3031553,136355844,CYBERMEDIA,CYBERMEDIA,CYBER MEDIA (INDIA).
1471489,136236804,CYIENT,CYIENT,CYIENT
2067201,138807300,DALBHARAT,DALBHARAT,DALMIA BHARAT
4639745,136488964,DBREALTY,DBREALTY,D B REALTY
3513601,136389636,DCBBANK,DCBBANK,DCB BANK
2825985,138938628,DCMNVL,DCMNVL,DCM NOUVELLE
207617,133981956,DCMSHRIRAM,DCMSHRIRAM,DCM SHRIRAM
310785,129097220,DELTAMAGNT,DELTAMAGNT,DELTA MANUFACTURING
4536833,136483076,DEN,DEN,DEN NETWORKS
219393,128030468,DHAMPURSUG,DHAMPURSUG,DHAMPUR SUGAR MILLS.
2907905,136238084,DHANBANK,DHANBANK,DHANLAXMI BANK
3721473,136406788,DISHTV,DISHTV,DISH TV INDIA.
4934913,136503812,EMAMIREAL,EMAMIREAL,EMAMI REALTY
4644353,136489220,EMMBI,EMMBI,EMMBI INDUSTRIES
251137,128034564,EPL,EPL,EPL
4476417,136478980,EXPLEOSOL,EXPLEOSOL,EXPLEO SOLUTIONS
3004161,136351236,GDL,GDL,GATEWAY DISTRIPARKS.
3496449,136387588,GEECEE,GEECEE,GEECEE VENTURES
2012673,136271108,GEPIL,GEPIL,GE POWER INDIA
329985,128044292,GFLLIMITED,GFLLIMITED,GFL
3463169,136385028,GMRINFRA,GMRINFRA,GMR INFRASTRUCTURE.
