instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
3014145,11774,3IINFOTECH,3I INFOTECH.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136352772,532628,3IINFOTECH,0.0,,0.0,0.01,1,EQ,BSE,BSE
1147137,4481,AARTIDRUGS,AARTI DRUGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134233092,524348,AARTIDRUGS,0.0,,0.0,0.05,1,EQ,BSE,BSE
2561,10,ABAN,ABAN OFFSHORE.,0.0,,0.0,0.05,1,EQ,NSE,NSE,133940228,523204,ABAN,0.0,,0.0,0.05,1,EQ,BSE,BSE
3329,13,ABB,ABB INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128000516,500002,ABB,0.0,,0.0,0.05,1,EQ,BSE,BSE
879361,3435,AGCNET,AGC NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,128118532,500463,AGCNET,0.0,,0.0,0.05,1,EQ,BSE,BSE
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128181764,500710,AKZOINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
2539777,9921,ALANKIT,ALANKIT,0.0,,0.0,0.05,1,EQ,NSE,NSE,135956996,531082,ALANKIT,0.0,,0.0,0.05,1,EQ,BSE,BSE
3495937,13656,ALICON,ALICON CASTALLOY,0.0,,0.0,0.05,1,EQ,NSE,NSE,135973636,531147,ALICON,0.0,,0.0,0.05,1,EQ,BSE,BSE
25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128002052,500008,AMARAJABAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
665089,2598,AMJLAND,AMJ LAND HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE,128087812,500343,AMJLAND,0.0,,0.0,0.05,1,EQ,BSE,BSE
3486721,13620,ANANTRAJ,ANANT RAJ,0.0,,0.0,0.05,1,EQ,NSE,NSE,131854084,515055,ANANTRAJ,0.0,,0.0,0.05,1,EQ,BSE,BSE
42497,166,ANDHRAPAP,ANDHRA PAPER,0.0,,0.0,0.05,1,EQ,NSE,NSE,128596484,502330,ANDHRAPAP,0.0,,0.0,0.05,1,EQ,BSE,BSE
3500289,13673,ANSALHSG,ANSAL HOUSING,0.0,,0.0,0.05,1,EQ,NSE,NSE,130003972,507828,ANSALHSG,0.0,,0.0,0.01,1,EQ,BSE,BSE
2307585,9014,ANUP,THE ANUP ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE,138869764,542460,ANUP,0.0,,0.0,0.05,1,EQ,BSE,BSE
2941697,11491,APARINDS,APAR INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136258308,532259,APARINDS,0.0,,0.0,0.05,1,EQ,BSE,BSE
3676417,14361,APOLLOPIPE,APOLLO PIPES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136130820,531761,APOLLOPIPES,0.0,,0.0,0.05,1,EQ,BSE,BSE
3892225,15204,ARIES,ARIES AGRO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136431364,532935,ARIES,0.0,,0.0,0.05,1,EQ,BSE,BSE
4562177,17821,ARSHIYA,ARSHIYA,0.0,,0.0,0.05,1,EQ,NSE,NSE,129554948,506074,ARSHIYA,0.0,,0.0,0.05,1,EQ,BSE,BSE
4716033,18422,ASIANHOTNR,ASIAN HOTELS (NORTH),0.0,,0.0,0.05,1,EQ,NSE,NSE,128005892,500023,ASIANHOTNR,0.0,,0.0,0.05,1,EQ,BSE,BSE
4538369,17728,ASTEC,ASTEC LIFESCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136483332,533138,ASTEC,0.0,,0.0,0.05,1,EQ,BSE,BSE
3691009,14418,ASTRAL,ASTRAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136404484,532830,ASTRAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
1552897,6066,ATGL,ADANI TOTAL GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,138768900,542066,ATGL,0.0,,0.0,0.05,1,EQ,BSE,BSE
