timestamp,open,high,low,close,volume
2021:05:31 09:34:12,458.75,463.0,447.15,461.85,5175
2021:05:31 09:35:39,461.85,475.7,458.8,473.4,5575
2021:05:31 09:37:08,473.4,487.0,471.0,484.9,5150
2021:05:31 09:38:36,485.0,497.0,483.1,491.0,4875
2021:05:31 09:40:04,491.0,521.0,491.0,520.35,5400
2021:05:31 09:41:34,520.65,572.7,520.4,563.3,4875
2021:05:31 09:43:05,560.15,564.95,545.0,559.6,4925
2021:05:31 09:44:37,559.6,559.6,532.5,543.4,7250
2021:05:31 09:46:04,542.9,603.25,541.7,595.35,8100
2021:05:31 09:47:33,595.85,604.85,582.15,582.15,5650
2021:05:31 09:49:07,582.45,595.6,557.55,592.95,5250
2021:05:31 09:50:37,592.95,606.6,580.05,586.2,5350
2021:05:31 09:52:12,585.75,602.5,570.45,582.45,4850
2021:05:31 09:53:49,582.45,595.0,574.65,588.15,4475
2021:05:31 09:55:25,589.65,597.9,583.2,586.6,4975
2021:05:31 09:57:07,586.85,597.95,578.8,586.9,4425
2021:05:31 09:58:39,586.9,623.35,586.0,596.45,6175
2021:05:31 10:00:13,596.45,597.75,564.9,586.65,5750
2021:05:31 10:01:52,585.25,598.4,582.25,589.85,6600
2021:05:31 10:03:31,589.85,591.15,577.3,590.0,5250
2021:05:31 10:05:09,590.0,591.85,565.25,570.0,5025
2021:05:31 10:06:48,570.0,586.7,563.7,574.3,6150
2021:05:31 10:08:22,574.3,613.95,572.2,613.95,8025
2021:05:31 10:09:52,607.0,663.4,607.0,640.15,5875
2021:05:31 10:11:25,642.3,676.0,639.9,661.3,5000
2021:05:31 10:12:59,661.3,686.1,659.35,671.05,5375
2021:05:31 10:14:37,673.95,678.2,660.0,664.6,5750
2021:05:31 10:16:17,668.55,690.0,662.3,666.65,7775
2021:05:31 10:18:01,666.65,672.6,650.05,669.85,5325
2021:05:31 10:19:35,669.85,682.7,660.15,679.0,6850
2021:05:31 10:21:15,679.0,679.0,643.55,643.55,4400
2021:05:31 10:22:51,643.55,672.35,643.55,670.0,7700
2021:05:31 10:24:38,667.7,670.0,652.7,662.95,5425
2021:05:31 10:26:17,662.95,690.95,662.95,682.55,5050
2021:05:31 10:27:54,682.55,706.1,680.5,698.8,6200
2021:05:31 10:29:31,698.8,718.1,697.75,713.6,5575
2021:05:31 10:31:01,713.6,736.75,701.55,701.55,5250
2021:05:31 10:32:43,704.4,717.0,702.3,712.45,5675
