timestamp,open,high,low,close,volume
2021:05:31 09:34:10,474.25,485.0,471.35,476.2,4375
2021:05:31 09:35:46,474.4,475.2,442.05,448.15,5350
2021:05:31 09:37:17,448.55,452.05,432.1,437.5,5850
2021:05:31 09:38:49,436.9,438.7,419.0,419.0,4250
2021:05:31 09:40:17,417.9,424.9,385.0,390.6,5900
2021:05:31 09:41:45,390.9,392.6,364.35,371.85,6300
2021:05:31 09:43:13,373.55,381.7,369.7,378.35,5525
2021:05:31 09:44:41,377.8,389.65,373.55,385.0,5500
2021:05:31 09:46:09,384.0,385.15,337.0,341.05,5750
2021:05:31 09:47:36,341.2,353.8,341.15,353.8,5650
2021:05:31 09:49:02,356.65,366.65,343.0,345.8,6075
2021:05:31 09:50:31,346.55,353.45,337.85,343.6,5350
2021:05:31 09:51:58,343.35,361.5,340.1,361.5,5125
2021:05:31 09:53:24,360.85,364.65,347.35,357.05,5500
2021:05:31 09:54:51,357.8,358.3,346.45,352.8,7225
2021:05:31 09:56:17,353.0,360.0,345.75,356.75,5350
2021:05:31 09:57:43,356.8,356.85,340.0,340.6,5825
2021:05:31 09:59:10,340.05,348.3,322.6,348.05,6400
2021:05:31 10:00:37,348.95,362.1,334.8,334.8,5100
2021:05:31 10:02:04,335.35,347.9,335.25,345.2,6400
2021:05:31 10:03:31,347.05,351.95,339.1,339.1,5450
2021:05:31 10:04:58,339.85,356.3,339.5,353.75,6625
2021:05:31 10:06:24,352.8,359.5,342.6,357.75,5850
2021:05:31 10:07:53,356.3,357.0,340.25,342.05,4750
2021:05:31 10:09:21,341.95,346.25,310.55,318.95,6725
2021:05:31 10:10:48,317.95,325.3,297.45,303.65,4675
2021:05:31 10:12:16,303.55,306.3,287.9,293.1,5325
2021:05:31 10:13:43,293.55,297.45,288.0,290.9,5275
2021:05:31 10:15:11,291.9,297.8,282.15,286.8,5150
2021:05:31 10:16:40,287.25,297.3,282.95,294.75,5050
2021:05:31 10:18:07,294.75,298.55,291.4,293.45,5750
2021:05:31 10:19:38,293.3,296.2,284.75,291.2,6100
2021:05:31 10:21:07,290.65,302.25,286.25,299.65,4625
2021:05:31 10:22:35,301.5,302.4,287.2,290.65,5025
2021:05:31 10:24:03,289.45,298.95,288.35,297.5,5325
2021:05:31 10:25:31,297.75,297.75,274.35,275.0,4700
2021:05:31 10:26:59,273.85,278.6,271.8,273.35,5725
2021:05:31 10:28:26,273.85,273.85,259.3,263.05,6225
2021:05:31 10:29:54,263.0,264.85,256.35,257.15,6625
2021:05:31 10:31:22,258.4,265.55,253.0,261.3,4750
2021:05:31 10:32:49,261.3,265.6,259.9,261.4,4700
2021:05:31 10:34:17,261.55,263.45,255.9,259.8,4900
2021:05:31 10:35:45,259.8,269.2,257.7,269.2,5425
2021:05:31 10:37:14,268.55,273.7,260.6,262.9,4225
2021:05:31 10:38:44,262.9,269.45,262.9,269.45,5575
2021:05:31 10:40:13,269.55,272.45,257.25,259.0,5250
2021:05:31 10:41:42,259.05,267.5,259.05,263.15,5625
2021:05:31 10:43:11,263.35,268.3,258.2,268.3,4600
2021:05:31 10:44:39,268.3,271.0,265.55,266.5,4225
2021:05:31 10:46:07,266.45,270.95,265.1,266.65,5550
2021:05:31 10:47:36,266.65,275.6,264.7,271.15,4575
2021:05:31 10:49:03,271.15,277.6,270.25,276.0,5175
2021:05:31 10:50:29,275.6,284.0,274.85,279.15,4950
2021:05:31 10:51:56,279.0,280.0,271.1,272.8,4325
2021:05:31 10:53:23,273.5,273.5,267.35,270.4,4125
2021:05:31 10:54:52,270.4,274.0,267.85,272.15,5900
2021:05:31 10:56:25,272.15,278.9,271.45,276.55,6675
2021:05:31 10:57:55,276.8,276.8,265.0,272.95,5125
2021:05:31 10:59:24,272.95,279.65,271.0,278.0,4400
2021:05:31 11:00:55,278.0,280.25,273.75,276.0,4700
2021:05:31 11:02:24,276.6,287.0,274.2,282.1,4800
2021:05:31 11:03:57,282.0,290.4,281.45,285.8,5250
2021:05:31 11:05:27,285.65,291.5,283.9,284.2,4725
2021:05:31 11:07:02,284.2,288.4,280.0,283.65,6475
2021:05:31 11:08:34,283.65,286.2,278.1,283.5,5450
2021:05:31 11:10:07,283.15,286.35,280.9,281.05,7050
