bse_symbol,nse_symbol,bse_token,nse_token
ABB,ABB,128000516,3329
AEGISLOG,AEGISCHEM,128000772,10241
AMARAJABAT,AMARAJABAT,128002052,25601
HDFC,HDFC,128002564,340481
ANSALAPI,ANSALAPI,128003332,37889
BOMDYEING,BOMDYEING,128005124,131329
ASIANHOTNR,ASIANHOTNR,128005892,4716033
ATUL,ATUL,128006916,67329
BAJAJELEC,BAJAJELEC,128007940,3848705
BAJAJHIND,BAJAJHIND,128008196,78849
FORCEMOT,FORCEMOT,128008452,2962689
BAJFINANCE,BAJFINANCE,128008708,81153
BALRAMCHIN,BALRAMCHIN,128009732,87297
BANCOINDIA,BANCOINDIA,128009988,3553281
CENTURYTEX,CENTURYTEX,128010244,160001
BANARISUG,BANARISUG,128010500,89601
BASF,BASF,128010756,94209
BATAINDIA,BATAINDIA,128011012,94977
BEML,BEML,128012292,101121
BEL,BEL,128012548,98049
BEPL,BEPL,128013316,107265
TATASTLBSL,TATASTLBSL,128014084,114433
BIRLACABLE,BIRLACABLE,128015364,122113
BLUESTARCO,BLUESTARCO,128017156,2127617
BPL,BPL,128018948,135681
OAL,OAL,128019972,2756609
CENTEXT,CENTEXT,128021252,2946817
CESC,CESC,128021508,160769
CHAMBLFERT,CHAMBLFERT,128021764,163073
EXIDEIND,EXIDEIND,128022020,173057
CIPLA,CIPLA,128022276,177665
DICIND,DICIND,128022788,179969
CRISIL,CRISIL,128023556,193793
CGPOWER,CGPOWER,128023812,194561
DABUR,DABUR,128024580,197633
DALMIASUG,DALMIASUG,128024836,199937
ARVIND,ARVIND,128025860,49409
BALLARPUR,BALLARPUR,128026116,
BHEL,BHEL,128026372,112129
HINDPETRO,HINDPETRO,128026628,359937
IFCI,IFCI,128027140,381697
MTNL,MTNL,128027652,587265
MRPL,MRPL,128027908,584449
CHENNPETRO,CHENNPETRO,128028164,524545
RELCAPITAL,RELCAPITAL,128028420,737793
SBIN,SBIN,128028676,779521
SAIL,SAIL,128028932,758529
TITAN,TITAN,128029188,897537
IDBI,IDBI,128029700,377857
DCW,DCW,128029956,209153
DHAMPURSUG,DHAMPURSUG,128030468,219393
