Timestamp,Open,High,Low,Close,Volume
2021:06:15 09:58:58 IST +0530,1020.15,1029.8,1016.7,1016.7,6650
2021:06:15 10:01:54 IST +0530,1016.7,1040.8,1010.85,1025.4,8575
2021:06:15 10:04:19 IST +0530,1020.0,1020.0,1004.5,1004.5,5250
2021:06:15 10:06:30 IST +0530,1004.5,1005.0,992.85,1005.0,5250
2021:06:15 10:08:53 IST +0530,1005.0,1005.0,1005.0,1005.0,5250
2021:06:15 10:11:30 IST +0530,1005.0,1005.0,982.3,1001.0,5250
2021:06:15 10:14:17 IST +0530,1001.0,1018.85,999.7,1012.0,5250
2021:06:15 10:16:51 IST +0530,1012.0,1023.55,1012.0,1023.55,5250
2021:06:15 10:19:36 IST +0530,1023.55,1023.55,1002.55,1002.55,8175
2021:06:15 10:21:57 IST +0530,1002.55,1007.95,995.75,1002.1,5250
2021:06:15 10:24:44 IST +0530,1002.1,1002.1,995.0,995.6,10625
2021:06:15 10:27:31 IST +0530,995.6,995.6,976.5,987.9,5250
2021:06:15 10:30:20 IST +0530,987.9,1002.0,982.15,982.15,5375
2021:06:15 10:32:48 IST +0530,987.25,987.75,966.2,976.7,5800
2021:06:15 10:35:30 IST +0530,976.7,976.7,976.5,976.5,5250
2021:06:15 10:38:08 IST +0530,976.5,976.5,949.15,963.95,5500
2021:06:15 10:40:56 IST +0530,963.95,963.95,947.6,958.65,5350
2021:06:15 10:43:48 IST +0530,958.65,966.4,955.0,955.05,12250
2021:06:15 10:46:12 IST +0530,955.05,962.8,955.05,960.2,5250
2021:06:15 10:48:50 IST +0530,960.2,969.3,959.9,969.3,6000
2021:06:15 10:51:13 IST +0530,969.3,973.25,966.65,966.65,5250
2021:06:15 10:53:42 IST +0530,966.65,970.0,950.85,953.25,5250
2021:06:15 10:56:17 IST +0530,953.25,966.15,953.25,965.0,5250
2021:06:15 10:58:36 IST +0530,965.0,980.65,963.85,980.65,8500
2021:06:15 11:01:31 IST +0530,980.65,992.05,977.0,989.45,9500
2021:06:15 11:04:14 IST +0530,989.45,997.0,987.95,995.55,5250
2021:06:15 11:06:49 IST +0530,995.55,1005.3,991.6,998.0,5250
2021:06:15 11:09:35 IST +0530,998.0,998.15,990.0,990.0,10325
2021:06:15 11:12:11 IST +0530,990.0,990.0,979.0,987.0,13675
2021:06:15 11:14:48 IST +0530,987.0,987.0,980.0,985.1,5250
2021:06:15 11:17:23 IST +0530,985.1,985.1,971.15,971.15,5475
2021:06:15 11:19:58 IST +0530,971.15,982.0,971.15,982.0,8475
2021:06:15 11:22:40 IST +0530,982.0,982.0,982.0,982.0,10500
2021:06:15 11:25:09 IST +0530,982.0,989.0,982.0,989.0,5675
2021:06:15 11:27:44 IST +0530,989.0,989.0,970.0,980.35,5250
2021:06:15 11:30:10 IST +0530,980.35,988.75,980.35,988.75,5250
2021:06:15 11:32:41 IST +0530,988.75,988.75,984.05,986.95,5250
2021:06:15 11:35:41 IST +0530,986.95,997.1,986.95,997.1,5250
2021:06:15 11:38:17 IST +0530,997.1,997.1,980.3,980.3,5250
2021:06:15 11:40:50 IST +0530,980.3,987.25,980.3,987.25,5250
2021:06:15 11:43:22 IST +0530,987.25,987.25,980.0,980.0,5250
2021:06:15 11:46:08 IST +0530,980.0,982.0,975.75,975.75,5250
2021:06:15 11:48:36 IST +0530,975.75,977.0,966.5,966.5,5250
2021:06:15 11:51:09 IST +0530,966.5,981.05,966.5,975.05,5250
2021:06:15 11:53:41 IST +0530,975.05,985.35,975.05,985.35,5250
2021:06:15 11:56:17 IST +0530,985.35,994.55,980.75,982.0,5250
2021:06:15 11:58:51 IST +0530,982.0,983.7,980.0,980.0,5250
2021:06:15 12:01:47 IST +0530,980.0,981.65,980.0,981.65,5250
2021:06:15 12:04:30 IST +0530,981.65,981.65,981.65,981.65,5250
2021:06:15 12:07:26 IST +0530,981.65,981.65,981.65,981.65,5250
2021:06:15 12:10:05 IST +0530,981.65,982.8,979.5,981.5,5250
2021:06:15 12:12:33 IST +0530,981.5,981.5,973.7,974.8,5250
2021:06:15 12:15:00 IST +0530,974.8,978.8,974.8,975.75,6500
2021:06:15 12:17:38 IST +0530,975.75,975.75,975.75,975.75,10500
2021:06:15 12:19:56 IST +0530,975.75,1066.0,947.25,1035.4,7625
2021:06:15 12:22:50 IST +0530,1035.4,1035.4,1023.25,1033.9,5250
2021:06:15 12:25:30 IST +0530,1033.9,1091.9,1033.9,1073.4,5400
2021:06:15 12:27:51 IST +0530,1073.4,1073.4,1058.65,1064.0,5550
2021:06:15 12:30:33 IST +0530,1064.0,1075.0,1062.0,1063.6,13150
2021:06:15 12:33:19 IST +0530,1063.6,1075.0,1060.65,1071.3,10850
2021:06:15 12:35:52 IST +0530,1071.3,1074.9,1067.9,1071.6,5500
2021:06:15 12:38:27 IST +0530,1071.6,1073.0,1067.65,1067.75,5375
2021:06:15 12:41:09 IST +0530,1067.75,1081.05,1065.55,1081.05,11775
2021:06:15 12:43:51 IST +0530,1081.05,1093.2,1076.45,1085.2,5800
2021:06:15 12:46:22 IST +0530,1085.2,1085.2,1069.05,1076.0,5300
2021:06:15 12:49:18 IST +0530,1076.0,1076.0,1053.5,1064.55,6475
2021:06:15 12:52:11 IST +0530,1064.55,1065.3,1059.75,1059.75,20250
2021:06:15 12:54:33 IST +0530,1059.75,1059.75,1055.5,1055.5,5250
2021:06:15 12:57:12 IST +0530,1055.5,1056.0,1055.5,1056.0,5250
2021:06:15 12:59:52 IST +0530,1056.0,1056.0,1040.0,1045.9,5250
2021:06:15 13:02:27 IST +0530,1045.9,1060.75,1045.9,1060.0,6050
2021:06:15 13:05:05 IST +0530,1060.0,1061.0,1060.0,1060.35,5650
2021:06:15 13:08:04 IST +0530,1060.35,1060.35,1044.35,1048.8,5525
2021:06:15 13:10:39 IST +0530,1048.8,1048.8,1026.65,1026.65,5650
2021:06:15 13:13:32 IST +0530,1026.65,1026.65,1026.65,1026.65,5250
2021:06:15 13:16:08 IST +0530,1026.65,1034.7,1022.6,1034.4,5250
2021:06:15 13:18:48 IST +0530,1034.4,1034.4,1025.0,1025.0,5600
2021:06:15 13:21:35 IST +0530,1025.0,1030.75,1021.55,1023.45,5900
2021:06:15 13:24:14 IST +0530,1023.45,1044.6,980.0,1040.1,6350
2021:06:15 13:26:30 IST +0530,1040.1,1046.2,1039.7,1039.7,5250
