<<<<<<< HEAD
timestamp,open,high,low,close,volume
=======
datetime,open,high,low,close,volume
>>>>>>> fb85f7ff4b2d2e2b653ca1d04826ec372b6422ec
2021:06:15 09:57:07 IST +0530,1020.15,1029.8,1020.15,1029.8,1900
2021:06:15 09:58:02 IST +0530,1029.8,1029.8,1022.05,1023.05,2075
2021:06:15 09:58:42 IST +0530,1023.05,1026.55,1020.0,1020.0,1925
2021:06:15 09:59:27 IST +0530,1020.0,1020.0,1010.85,1010.85,3775
2021:06:15 10:00:17 IST +0530,1010.85,1030.45,1010.85,1030.45,1825
2021:06:15 10:01:04 IST +0530,1030.45,1040.8,1030.45,1036.05,1525
2021:06:15 10:01:59 IST +0530,1036.05,1036.05,1017.35,1017.35,2375
2021:06:15 10:02:43 IST +0530,1017.35,1017.35,1004.5,1004.5,1525
2021:06:15 10:03:26 IST +0530,1004.5,1009.25,1004.5,1004.5,1525
2021:06:15 10:04:06 IST +0530,1004.5,1004.5,1004.5,1004.5,1525
2021:06:15 10:04:44 IST +0530,1004.5,1004.5,1002.1,1003.6,1525
2021:06:15 10:05:22 IST +0530,1003.6,1003.95,1000.45,1003.95,1525
2021:06:15 10:06:00 IST +0530,1003.95,1003.95,992.85,992.85,1525
2021:06:15 10:06:41 IST +0530,992.85,1005.0,992.85,1005.0,1525
2021:06:15 10:07:26 IST +0530,1005.0,1005.0,1005.0,1005.0,1525
2021:06:15 10:08:04 IST +0530,1005.0,1005.0,1005.0,1005.0,1525
2021:06:15 10:08:43 IST +0530,1005.0,1005.0,1005.0,1005.0,1525
2021:06:15 10:09:32 IST +0530,1005.0,1005.0,1005.0,1005.0,1525
2021:06:15 10:10:18 IST +0530,1005.0,1005.0,1005.0,1005.0,1525
2021:06:15 10:11:00 IST +0530,1005.0,1005.0,982.3,998.45,1525
2021:06:15 10:11:48 IST +0530,998.45,1004.45,998.45,999.7,1525
2021:06:15 10:12:33 IST +0530,999.7,999.7,999.7,999.7,1525
2021:06:15 10:13:23 IST +0530,999.7,1018.85,999.7,1018.85,1525
2021:06:15 10:14:12 IST +0530,1018.85,1018.85,1014.65,1014.65,1525
2021:06:15 10:15:01 IST +0530,1014.65,1015.6,1012.0,1015.6,1525
2021:06:15 10:15:38 IST +0530,1015.6,1016.7,1015.6,1016.7,1525
2021:06:15 10:16:24 IST +0530,1016.7,1023.55,1016.7,1023.55,1525
2021:06:15 10:17:14 IST +0530,1023.55,1023.55,1021.2,1021.2,1525
2021:06:15 10:18:01 IST +0530,1021.2,1021.2,1012.7,1012.7,1525
2021:06:15 10:19:00 IST +0530,1012.7,1014.8,1010.0,1014.8,4450
2021:06:15 10:19:36 IST +0530,1014.8,1014.8,1002.55,1002.55,1525
2021:06:15 10:20:18 IST +0530,1002.55,1002.55,1000.0,1001.3,1525
2021:06:15 10:20:57 IST +0530,1001.3,1007.95,997.8,1001.3,1525
2021:06:15 10:21:41 IST +0530,1001.3,1002.1,995.75,1002.1,1525
2021:06:15 10:22:24 IST +0530,1002.1,1002.1,1001.55,1001.55,3925
2021:06:15 10:23:16 IST +0530,1001.55,1001.55,999.8,999.8,2200
2021:06:15 10:24:02 IST +0530,999.8,999.8,995.0,995.0,2425
2021:06:15 10:24:50 IST +0530,995.0,995.6,994.35,994.35,2925
2021:06:15 10:25:44 IST +0530,994.35,994.35,994.35,994.35,1525
2021:06:15 10:26:28 IST +0530,994.35,994.35,988.05,988.05,1525
2021:06:15 10:27:14 IST +0530,988.05,988.05,976.5,982.65,1525
2021:06:15 10:27:58 IST +0530,987.9,999.25,987.9,999.0,1525
2021:06:15 10:28:49 IST +0530,999.0,999.0,999.0,999.0,1525
2021:06:15 10:29:41 IST +0530,999.0,1002.0,999.0,1002.0,1525
2021:06:15 10:30:33 IST +0530,1002.0,1002.0,982.15,983.4,1650
2021:06:15 10:31:20 IST +0530,983.4,983.4,966.2,966.2,1725
2021:06:15 10:31:57 IST +0530,966.2,976.7,966.2,976.7,1875
2021:06:15 10:32:39 IST +0530,976.7,976.7,976.7,976.7,1525
2021:06:15 10:33:32 IST +0530,976.7,976.7,976.7,976.7,1525
2021:06:15 10:34:18 IST +0530,976.7,976.7,976.5,976.5,1525
2021:06:15 10:35:05 IST +0530,976.5,976.5,976.5,976.5,1525
2021:06:15 10:35:43 IST +0530,976.5,976.5,973.0,973.0,1575
2021:06:15 10:36:27 IST +0530,973.0,973.0,949.15,955.5,1725
2021:06:15 10:37:19 IST +0530,955.5,958.75,955.5,958.75,1525
2021:06:15 10:38:03 IST +0530,958.75,963.95,958.75,963.95,1525
2021:06:15 10:39:00 IST +0530,963.95,963.95,960.0,960.0,1525
